**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

realistic_pnl_usd,size_flat,size_gbm_ev,size_gbm_quantile,size_hand_aggressive
-75.0,1.0,2.153661725122857,2.0,1.2
140.0,1.0,1.8607632285580098,2.0,0.8
-21.0,1.0,1.6467313448151621,1.5,0.8
-63.5,1.0,1.4177100717627757,1.5,0.8
-43.5,1.0,1.7417470198943201,2.0,1.2
-75.0,1.0,1.6455369626013248,1.5,0.8
234.0,1.0,1.5520619097544208,1.5,0.8
66.5,1.0,1.4497714455386816,1.5,0.8
-88.5,1.0,1.4253211772983394,1.5,0.8
-9.5,1.0,0.9125937716747421,0.5,2.0
-59.5,1.0,1.0113275022736503,0.8,1.2
-90.5,1.0,1.1586360969660245,0.8,0.8
-47.5,1.0,1.1102970909446186,0.8,0.8
-59.0,1.0,1.2381226678017554,1.5,1.2
-57.5,1.0,1.1464834738633511,0.8,0.8
-106.0,1.0,0.9792370291206942,0.8,0.8
-34.5,1.0,0.9770132651115342,0.8,0.8
8.0,1.0,1.30629825074567,1.5,0.8
-89.5,1.0,1.0961554965620888,0.8,0.8
554.0,1.0,1.1164762193120699,0.8,2.0
114.0,1.0,2.711636899694747,2.0,1.2
27.0,1.0,2.068513842056713,2.0,2.0
-84.0,1.0,2.714316299948591,2.0,1.2
59.0,1.0,2.5964118263506326,2.0,1.2
-31.0,1.0,1.5235740841952983,1.5,1.2
11.5,1.0,1.7265510608475911,1.5,1.2
-29.5,1.0,1.4357965230975211,1.5,0.8
-41.0,1.0,1.4420686934252602,1.5,1.2
34.0,1.0,1.3223352347728508,1.5,2.0
-68.5,1.0,1.1800623444525242,1.5,0.8
-50.0,1.0,1.2323502866945515,1.5,0.8
-5.5,1.0,1.1393770038952962,0.8,0.8
-89.5,1.0,1.0429529189482207,0.8,0.8
172.0,1.0,0.8231396453172148,0.5,0.8
14.0,1.0,1.0362728256195637,0.8,0.0
-35.0,1.0,1.3249458120605184,1.5,0.8
-63.5,1.0,0.7516977665107452,0.5,0.0
141.0,1.0,0.9724359187009994,0.8,0.0
3.5,1.0,1.059017835243095,0.8,0.8
-63.0,1.0,0.7178854184757353,0.5,0.0
-48.5,1.0,0.8572397012345778,0.5,0.0
140.5,1.0,0.7428587963332118,0.5,0.8
-3.5,1.0,0.8922386802447049,0.5,1.2
-22.0,1.0,0.9218081483953058,0.5,0.8
-62.5,1.0,1.155791914693129,0.8,1.2
19.5,1.0,1.001277972061008,0.8,0.0
17.5,1.0,0.9381648878634832,0.8,0.8
-72.0,1.0,1.2332122332890472,1.5,1.2
164.5,1.0,0.9097755366803846,0.5,0.8
56.5,1.0,0.7915611231262942,0.5,0.8
22.0,1.0,0.9547564998922382,0.8,1.2
156.5,1.0,1.843386361284972,2.0,1.2
-28.0,1.0,0.9106128321565052,0.5,2.0
-42.0,1.0,1.1686733822607316,0.8,2.0
143.5,1.0,1.84177004841168,2.0,1.2
116.0,1.0,1.6965133874207319,1.5,1.2
4.0,1.0,1.7468605772520918,2.0,1.2
-46.5,1.0,2.1316290992067017,2.0,1.2
-12.5,1.0,1.791436006174207,2.0,1.2
-67.5,1.0,2.0185128481822345,2.0,1.2
