**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

tf,c1,c2,regime_2d,n,pearson
1m,vol_mean_w,z_se_w,FLAT_CHOPPY,18315,0.009191395708644445
1m,vol_mean_w,hurst_w,UP_SMOOTH,7146,0.03726766222382109
1m,vol_mean_w,hurst_w,UP_CHOPPY,3924,0.06135826240026003
1m,vol_mean_w,hurst_w,DOWN_SMOOTH,4662,0.10251762700659343
1m,vol_mean_w,hurst_w,DOWN_CHOPPY,2988,0.010045731314841379
1m,vol_mean_w,hurst_w,FLAT_SMOOTH,9890,-0.02985687859727586
1m,vol_mean_w,hurst_w,FLAT_CHOPPY,18315,0.04563802893398519
1m,vol_mean_w,reversion_prob_w,UP_SMOOTH,7146,-0.0034955579730721847
1m,vol_mean_w,reversion_prob_w,UP_CHOPPY,3924,0.01318678310728334
1m,vol_mean_w,reversion_prob_w,DOWN_SMOOTH,4662,0.008447416989149695
1m,vol_mean_w,reversion_prob_w,DOWN_CHOPPY,2988,0.014902281204316747
1m,vol_mean_w,reversion_prob_w,FLAT_SMOOTH,9890,0.0046354083273963485
1m,vol_mean_w,reversion_prob_w,FLAT_CHOPPY,18315,0.009384704948470312
1m,z_se_w,hurst_w,UP_SMOOTH,7146,-0.0026527631058032098
1m,z_se_w,hurst_w,UP_CHOPPY,3924,-0.013261942546050343
1m,z_se_w,hurst_w,DOWN_SMOOTH,4662,0.0027319036370813078
1m,z_se_w,hurst_w,DOWN_CHOPPY,2988,0.001751698125487975
1m,z_se_w,hurst_w,FLAT_SMOOTH,9890,-0.003852360195713849
1m,z_se_w,hurst_w,FLAT_CHOPPY,18315,-0.0059696128367226434
1m,z_se_w,reversion_prob_w,UP_SMOOTH,7146,-0.026913610625230677
1m,z_se_w,reversion_prob_w,UP_CHOPPY,3924,0.018391382622020953
1m,z_se_w,reversion_prob_w,DOWN_SMOOTH,4662,0.11993247676395816
1m,z_se_w,reversion_prob_w,DOWN_CHOPPY,2988,0.05954993338345969
1m,z_se_w,reversion_prob_w,FLAT_SMOOTH,9890,0.08765052417644606
1m,z_se_w,reversion_prob_w,FLAT_CHOPPY,18315,0.04921117243484919
1m,hurst_w,reversion_prob_w,UP_SMOOTH,7146,0.06821209952468149
1m,hurst_w,reversion_prob_w,UP_CHOPPY,3924,0.09443795339836311
1m,hurst_w,reversion_prob_w,DOWN_SMOOTH,4662,0.10623518683276877
1m,hurst_w,reversion_prob_w,DOWN_CHOPPY,2988,0.06362190064113288
1m,hurst_w,reversion_prob_w,FLAT_SMOOTH,9890,0.06761666416180505
1m,hurst_w,reversion_prob_w,FLAT_CHOPPY,18315,0.07132837455595936
5m,bar_range,body,UP_SMOOTH,7146,0.33500165957447336
5m,bar_range,body,UP_CHOPPY,3924,0.19017251220880027
5m,bar_range,body,DOWN_SMOOTH,4662,-0.2661170387843859
5m,bar_range,body,DOWN_CHOPPY,2988,-0.1756291633784783
5m,bar_range,body,FLAT_SMOOTH,9893,-0.14602947487845697
5m,bar_range,body,FLAT_CHOPPY,18315,-0.06387456530142879
5m,bar_range,vwap_w,UP_SMOOTH,7146,-0.3859957195885512
5m,bar_range,vwap_w,UP_CHOPPY,3924,-0.5076399613780921
5m,bar_range,vwap_w,DOWN_SMOOTH,4662,-0.4361875131069884
