tf,X,Y,Z,r_min,r_max,lift,n_bins,sign_flip
5s,body,SE_low_w,price_velocity_1b,-0.5205202984857978,0.46008739697996726,0.9806076954657651,5,True
5s,body,SE_high_w,z_se_w,-0.40386038427961113,0.5758777334887724,0.9797381177683835,5,True
5m,body,SE_high_w,price_velocity_1b,-0.4324094433437304,0.5441809397570748,0.9765903831008051,5,True
5m,price_accel_1b,bar_range,price_velocity_1b,-0.5187694824945556,0.4573967050679387,0.9761661875624943,5,True
1h,price_velocity_1b,bar_range,z_high_w,-0.5345620357833649,0.4415054603848073,0.9760674961681722,5,True
5m,price_velocity_1b,SE_high_w,body,-0.4053634817920811,0.5693746824616438,0.974738164253725,5,True
15m,price_velocity_1b,reversion_prob_w,z_se_w,-0.4818342014537917,0.48863151342316924,0.9704657148769609,5,True
1h,price_velocity_w,SE_high_w,vol_sigma_w,-0.2509293561541929,0.7192031501301624,0.9701325062843553,5,True
1m,body,SE_low_w,price_velocity_1b,-0.5326288797089692,0.4372788556534716,0.9699077353624408,5,True
15m,body,z_high_w,reversion_prob_w,-0.4090545650685042,0.5606651845117483,0.9697197495802525,5,True
15m,price_velocity_1b,SE_high_w,z_se_w,-0.3936719302183605,0.574631064377424,0.9683029945957844,5,True
5m,price_velocity_1b,reversion_prob_w,z_high_w,-0.43533079026931143,0.5327598114916994,0.9680906017610108,5,True
15m,body,z_low_w,reversion_prob_w,-0.40498154921751245,0.5620492291536566,0.9670307783711691,5,True
1m,price_velocity_1b,SE_low_w,body,-0.5341135444349757,0.4328464317054087,0.9669599761403844,5,True
5s,vol_accel_1b,vol_accel_w,vol_velocity_1b,-0.04142233860771247,0.9248630239215818,0.9662853625292943,5,False
5s,price_velocity_1b,SE_low_w,body,-0.5352798573214813,0.42795243181283155,0.9632322891343128,4,True
1h,price_accel_1b,reversion_prob_w,z_low_w,-0.4321285807660298,0.5294744671951811,0.9616030479612109,5,True
1h,vol_velocity_1b,bar_range,vol_accel_w,-0.36020503889894007,0.6012559060121863,0.9614609449111263,5,True
