feature,regime_2d,n,mean,std,median,p10,p90
L1_15m_bar_range,UP_SMOOTH,7146,34.04558494262525,46.01519675986224,22.75,9.75,65.25
L1_15m_body,DOWN_CHOPPY,2988,-2.9965696117804552,28.829713452439236,-0.5,-36.5,26.5
L1_15m_body,DOWN_SMOOTH,4662,-5.434148434148434,36.70339303089753,-2.0,-37.5,23.975000000000136
L1_15m_body,FLAT_CHOPPY,18315,-0.12091182091182091,33.56927107097461,0.25,-29.25,28.25
L1_15m_body,FLAT_SMOOTH,9890,-0.20070778564206268,22.200253283088905,0.5,-21.0,20.75
L1_15m_body,UP_CHOPPY,3924,2.9136085626911314,45.422820883036394,0.75,-21.5,27.5
L1_15m_body,UP_SMOOTH,7146,4.678001679261125,33.51713176905729,2.0,-18.0,28.25
L1_5m_price_velocity_1b,DOWN_CHOPPY,2988,-1.0056894243641232,17.87548443679066,-0.25,-18.0,15.75
L1_5m_price_velocity_1b,DOWN_SMOOTH,4662,-1.9372586872586872,23.59473161173179,-0.75,-19.25,15.0
L1_5m_price_velocity_1b,FLAT_CHOPPY,18315,-0.049726999726999725,18.912566558670353,0.0,-16.0,16.25
L1_5m_price_velocity_1b,FLAT_SMOOTH,9892,-0.00419530934088152,17.65903429851554,0.25,-12.0,12.0
L1_5m_price_velocity_1b,UP_CHOPPY,3924,0.9773827726809379,25.326899467976595,0.25,-13.424999999999997,16.0
L1_5m_price_velocity_1b,UP_SMOOTH,7146,1.573782535684299,18.861731376492795,0.5,-11.0,14.5
L1_5m_price_accel_1b,DOWN_CHOPPY,2988,0.03288152610441767,26.19258164200959,0.0,-25.0,25.0
L1_5m_price_accel_1b,DOWN_SMOOTH,4662,0.04172029172029172,34.25832501990644,-0.25,-24.75,24.75
L1_5m_price_accel_1b,FLAT_CHOPPY,18315,-0.0371007371007371,26.67306331179306,-0.25,-22.75,22.75
L1_5m_price_accel_1b,FLAT_SMOOTH,9890,-0.05995955510616784,24.88320364910917,-0.25,-17.5,17.25
L1_5m_price_accel_1b,UP_CHOPPY,3924,-0.09817787971457696,35.2389353085519,-0.25,-20.5,21.0
L1_5m_price_accel_1b,UP_SMOOTH,7146,-0.020186118108032464,26.278342426932728,0.0,-18.75,18.25
L1_5m_vol_velocity_1b,DOWN_CHOPPY,2988,8.918005354752342,3898.7892884765533,-90.0,-2752.9,2361.1000000000013
L1_5m_vol_velocity_1b,DOWN_SMOOTH,4662,4.9774774774774775,3951.2225223165337,-69.0,-2594.7,2359.7000000000016
L1_5m_vol_velocity_1b,FLAT_CHOPPY,18315,0.8547638547638547,3805.054470606227,-56.0,-2473.9999999999995,2122.600000000002
L1_5m_vol_velocity_1b,FLAT_SMOOTH,9892,8.489789729074,2906.1459274874796,-50.5,-1826.5,1690.0
L1_5m_vol_velocity_1b,UP_CHOPPY,3924,-0.9627930682976554,4023.4198375934625,-78.0,-2483.8,2041.800000000001
L1_5m_vol_velocity_1b,UP_SMOOTH,7146,-1.0797649034424852,3368.9448495181737,-39.0,-2092.0,1754.0
L1_5m_vol_accel_1b,DOWN_CHOPPY,2988,6.284805890227577,6016.797333593852,178.0,-3644.5,4146.100000000007
L1_5m_vol_accel_1b,DOWN_SMOOTH,4662,-2.6776061776061777,6206.6918217852735,160.0,-4250.5,4251.500000000008
L1_5m_vol_accel_1b,FLAT_CHOPPY,18315,1.4235326235326236,5981.127179707065,105.0,-3746.6,4094.600000000002
L1_5m_vol_accel_1b,FLAT_SMOOTH,9890,11.197067745197169,4540.203083088644,144.5,-2852.2,3017.1000000000004
L1_5m_vol_accel_1b,UP_CHOPPY,3924,0.7872069317023446,6261.657903711636,155.5,-3742.9,4002.5000000000014
L1_5m_vol_accel_1b,UP_SMOOTH,7146,-0.8136020151133502,5182.3530361355315,112.0,-3035.0,3170.5
L1_5m_bar_range,DOWN_CHOPPY,2988,23.07873159303882,18.38055720386223,17.5,7.25,45.75
L1_5m_bar_range,DOWN_SMOOTH,4662,25.024024024024023,24.920428223155113,17.0,7.5,51.25
L1_5m_bar_range,FLAT_CHOPPY,18315,22.626999726999728,22.456433709811158,15.5,6.25,47.400000000000546
L1_5m_bar_range,FLAT_SMOOTH,9893,17.02918730415445,15.021152475791029,12.75,5.5,33.0
L1_5m_bar_range,UP_CHOPPY,3924,22.833333333333332,33.458760536522064,14.5,5.75,43.75
L1_5m_bar_range,UP_SMOOTH,7146,19.228519451441365,24.437676053171415,13.0,5.5,36.25
L1_5m_body,DOWN_CHOPPY,2988,-0.9925535475234271,17.482528911643346,-0.25,-18.0,15.75
L1_5m_body,DOWN_SMOOTH,4662,-1.7817460317460319,21.302307564457838,-0.75,-19.224999999999994,15.225000000000136
L1_5m_body,FLAT_CHOPPY,18315,-0.0595959595959596,18.873896942702697,0.0,-16.0,16.0
L1_5m_body,FLAT_SMOOTH,9893,-0.08887597291013848,12.88350060655787,0.25,-12.0,12.0
L1_5m_body,UP_CHOPPY,3924,0.9662971457696228,25.303008757434842,0.25,-13.5,15.75
L1_5m_body,UP_SMOOTH,7146,1.5041631682059893,17.899317745033834,0.75,-11.0,14.5
L1_1m_price_velocity_1b,DOWN_CHOPPY,2988,-0.2413821954484605,7.153658466698209,0.0,-7.5,6.75
L1_1m_price_velocity_1b,DOWN_SMOOTH,4662,-0.5363041613041613,8.536012194701488,-0.25,-7.75,6.0
L1_1m_price_velocity_1b,FLAT_CHOPPY,18315,-0.0610974610974611,7.388097635632558,0.0,-6.25,6.25
L1_1m_price_velocity_1b,FLAT_SMOOTH,9893,-0.03330637824724553,5.282366585123064,0.0,-5.0,4.75
L1_1m_price_velocity_1b,UP_CHOPPY,3924,0.053070846075433234,10.170212242246158,0.0,-5.5,6.0
L1_1m_price_velocity_1b,UP_SMOOTH,7146,0.3887489504617968,8.617758004973028,0.25,-5.0,5.75
L1_1m_price_accel_1b,DOWN_CHOPPY,2988,-0.27058232931726905,10.42734936242485,-0.25,-10.5,10.25
L1_1m_price_accel_1b,DOWN_SMOOTH,4662,-0.26324538824538823,12.77079660781301,-0.25,-10.5,9.75
L1_1m_price_accel_1b,FLAT_CHOPPY,18315,-0.05096915096915097,10.89533822146,0.0,-9.5,9.25
L1_1m_price_accel_1b,FLAT_SMOOTH,9893,-0.12210653997776205,7.746916056114192,-0.25,-7.25,7.0
L1_1m_price_accel_1b,UP_CHOPPY,3924,-0.3119266055045872,15.246530274220358,-0.25,-9.0,8.5
L1_1m_price_accel_1b,UP_SMOOTH,7146,0.22001819199552197,12.077618195955804,0.0,-7.5,8.0
L1_1m_vol_velocity_1b,DOWN_CHOPPY,2988,-28.017737617135207,847.482480699179,-20.5,-625.3,475.90000000000055
L1_1m_vol_velocity_1b,DOWN_SMOOTH,4662,-24.91098241098241,865.194938189046,-20.0,-612.9,490.8000000000011
L1_1m_vol_velocity_1b,FLAT_CHOPPY,18315,-25.04078624078624,804.0007295523492,-16.0,-569.0,402.0
L1_1m_vol_velocity_1b,FLAT_SMOOTH,9893,-22.03517638734459,655.523436279272,-17.0,-439.79999999999995,322.0
L1_1m_vol_velocity_1b,UP_CHOPPY,3924,-8.994138634046891,821.8319152243124,-18.0,-551.7,411.7000000000003
L1_1m_vol_velocity_1b,UP_SMOOTH,7146,-9.153792331374195,748.5775820572003,-11.0,-469.5,391.0
L1_1m_vol_accel_1b,DOWN_CHOPPY,2988,5.148259705488621,1343.6470647670706,30.0,-949.2,992.3000000000002
L1_1m_vol_accel_1b,DOWN_SMOOTH,4662,25.85993135993136,1362.6076656980188,42.0,-911.9,972.0
L1_1m_vol_accel_1b,FLAT_CHOPPY,18315,25.10936390936391,1251.8120966771965,28.0,-811.0,895.0
L1_1m_vol_accel_1b,FLAT_SMOOTH,9893,1.608612150005054,1023.925993521446,30.0,-658.5999999999999,644.8000000000011
L1_1m_vol_accel_1b,UP_CHOPPY,3924,33.19317023445464,1218.1822146648092,37.0,-747.8999999999999,831.7000000000003
L1_1m_vol_accel_1b,UP_SMOOTH,7146,31.506437167646236,1163.1905685221725,31.0,-663.0,750.5
L1_1m_bar_range,DOWN_CHOPPY,2988,9.414323962516734,7.8231748409046835,7.0,3.0,19.75
L1_1m_bar_range,DOWN_SMOOTH,4662,9.965894465894467,10.099917337972224,6.75,3.0,20.975000000000136
L1_1m_bar_range,FLAT_CHOPPY,18315,9.026958776958777,9.09603002315565,6.0,2.5,19.25
L1_1m_bar_range,FLAT_SMOOTH,9893,6.823536844233296,6.133776850675608,5.0,2.0,13.5
L1_1m_bar_range,UP_CHOPPY,3924,9.25401376146789,13.737279466037982,5.75,2.25,18.25
L1_1m_bar_range,UP_SMOOTH,7146,7.833613210187518,11.65893258588689,5.25,2.0,15.25
L1_1m_body,DOWN_CHOPPY,2988,-0.24623493975903615,7.150862956697449,0.0,-7.5,6.75
L1_1m_body,DOWN_SMOOTH,4662,-0.5173745173745173,8.502040691264524,-0.25,-7.5,6.0
L1_1m_body,FLAT_CHOPPY,18315,-0.060851760851760854,7.360095522467309,0.0,-6.25,6.25
L1_1m_body,FLAT_SMOOTH,9893,-0.03537855049024563,5.2561064126057895,0.0,-4.75,4.75
L1_1m_body,UP_CHOPPY,3924,0.054090214067278285,10.173494434130825,0.0,-5.5,6.25
L1_1m_body,UP_SMOOTH,7146,0.38871396585502377,8.65000950404463,0.25,-4.75,5.75
L1_15s_price_velocity_1b,DOWN_CHOPPY,2988,-0.12056559571619813,3.246834297824633,0.0,-3.25,3.0
L1_15s_price_velocity_1b,DOWN_SMOOTH,4662,-0.10735735735735735,3.9570110730437795,0.0,-3.5,3.25
L1_15s_price_velocity_1b,FLAT_CHOPPY,18315,-0.02031122031122031,3.4557260680374773,0.0,-3.0,3.0
L1_15s_price_velocity_1b,FLAT_SMOOTH,9893,-0.007151521277671081,2.52059714765755,0.0,-2.25,2.25
L1_15s_price_velocity_1b,UP_CHOPPY,3924,0.04345056065239551,3.695104327716864,0.0,-2.75,2.75
L1_15s_price_velocity_1b,UP_SMOOTH,7146,0.025223901483347327,3.444763389030391,0.0,-2.5,2.5
L1_15s_price_accel_1b,DOWN_CHOPPY,2988,-0.1908467202141901,5.108640846797979,-0.25,-4.75,4.75
L1_15s_price_accel_1b,DOWN_SMOOTH,4662,-0.020538395538395537,5.907233064448572,0.0,-5.0,5.0
L1_15s_price_accel_1b,FLAT_CHOPPY,18315,0.03764673764673765,5.2443340491014325,0.0,-4.5,4.75
L1_15s_price_accel_1b,FLAT_SMOOTH,9893,0.029541089659355098,3.70547845410715,0.0,-3.5,3.5
