**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

feature,regime_a,regime_b,pair,cohen_d,abs_d
L1_4h_vol_accel_1b,DOWN_SMOOTH,UP_CHOPPY,DOWN_SMOOTH__vs__UP_CHOPPY,0.07938853646822817,0.07938853646822817
L1_4h_vol_accel_1b,DOWN_SMOOTH,UP_SMOOTH,DOWN_SMOOTH__vs__UP_SMOOTH,0.03741191595996196,0.03741191595996196
L1_4h_vol_accel_1b,FLAT_CHOPPY,FLAT_SMOOTH,FLAT_CHOPPY__vs__FLAT_SMOOTH,-0.008281765409314768,0.008281765409314768
L1_4h_vol_accel_1b,FLAT_CHOPPY,UP_CHOPPY,FLAT_CHOPPY__vs__UP_CHOPPY,0.0022370575190842385,0.0022370575190842385
L1_4h_vol_accel_1b,FLAT_CHOPPY,UP_SMOOTH,FLAT_CHOPPY__vs__UP_SMOOTH,-0.0428467313105495,0.0428467313105495
L1_4h_vol_accel_1b,FLAT_SMOOTH,UP_CHOPPY,FLAT_SMOOTH__vs__UP_CHOPPY,0.011359961942333614,0.011359961942333614
L1_4h_vol_accel_1b,FLAT_SMOOTH,UP_SMOOTH,FLAT_SMOOTH__vs__UP_SMOOTH,-0.03926270948410083,0.03926270948410083
L1_4h_vol_accel_1b,UP_CHOPPY,UP_SMOOTH,UP_CHOPPY__vs__UP_SMOOTH,-0.046888660286754,0.046888660286754
L1_4h_bar_range,DOWN_CHOPPY,DOWN_SMOOTH,DOWN_CHOPPY__vs__DOWN_SMOOTH,-0.2006605149971515,0.2006605149971515
L1_4h_bar_range,DOWN_CHOPPY,FLAT_CHOPPY,DOWN_CHOPPY__vs__FLAT_CHOPPY,-0.04142370804207529,0.04142370804207529
L1_4h_bar_range,DOWN_CHOPPY,FLAT_SMOOTH,DOWN_CHOPPY__vs__FLAT_SMOOTH,0.48769952169902253,0.48769952169902253
L1_4h_bar_range,DOWN_CHOPPY,UP_CHOPPY,DOWN_CHOPPY__vs__UP_CHOPPY,-0.05544492765382511,0.05544492765382511
