trade_id,side,qty,entry_dt,exit_dt,entry_px,exit_px,entry_name,exit_name,pnl_usd,commission
891,Long,1,2026-04-16 15:56:59+00:00,2026-04-16 16:24:59+00:00,26520.25,26525.5,LongAtLowPivot,PivotExitLong,8.6,1.9
892,Short,1,2026-04-16 16:24:59+00:00,2026-04-16 16:37:59+00:00,26525.5,26485.75,ShortAtHighPivot,PivotExitShort,77.6,1.9
893,Long,1,2026-04-16 16:37:59+00:00,2026-04-16 16:55:59+00:00,26485.75,26480.75,LongAtLowPivot,PivotExitLong,-11.9,1.9
894,Short,1,2026-04-16 16:55:59+00:00,2026-04-16 17:25:59+00:00,26480.75,26477.75,ShortAtHighPivot,PivotExitShort,4.1,1.9
895,Long,1,2026-04-16 17:25:59+00:00,2026-04-16 17:56:59+00:00,26477.75,26460.5,LongAtLowPivot,PivotExitLong,-36.4,1.9
896,Short,1,2026-04-16 17:56:59+00:00,2026-04-16 18:32:59+00:00,26460.5,26396.75,ShortAtHighPivot,PivotExitShort,125.6,1.9
897,Long,1,2026-04-16 18:32:59+00:00,2026-04-16 20:02:59+00:00,26396.75,26457.75,LongAtLowPivot,PivotExitLong,120.1,1.9
898,Short,1,2026-04-16 20:02:59+00:00,2026-04-16 20:55:59+00:00,26457.75,26465.5,ShortAtHighPivot,EodExitShort,-17.4,1.9
899,Long,1,2026-04-17 00:00:59+00:00,2026-04-17 02:25:59+00:00,26479.75,26461.5,LongAtLowPivot,PivotExitLong,-38.4,1.9
900,Short,1,2026-04-17 02:25:59+00:00,2026-04-17 06:13:59+00:00,26461.5,26476.25,ShortAtHighPivot,PivotExitShort,-31.4,1.9
901,Long,1,2026-04-17 06:13:59+00:00,2026-04-17 10:33:59+00:00,26476.25,26513.25,LongAtLowPivot,PivotExitLong,72.1,1.9
902,Short,1,2026-04-17 10:33:59+00:00,2026-04-17 11:18:59+00:00,26513.25,26539.0,ShortAtHighPivot,PivotExitShort,-53.4,1.9
903,Long,1,2026-04-17 11:18:59+00:00,2026-04-17 12:44:59+00:00,26539.0,26609.0,LongAtLowPivot,PivotExitLong,138.1,1.9
904,Short,1,2026-04-17 12:44:59+00:00,2026-04-17 12:47:59+00:00,26609.0,26636.75,ShortAtHighPivot,PivotExitShort,-57.4,1.9
905,Long,1,2026-04-17 12:47:59+00:00,2026-04-17 13:02:59+00:00,26636.75,26711.0,LongAtLowPivot,PivotExitLong,146.6,1.9
906,Short,1,2026-04-17 13:02:59+00:00,2026-04-17 13:08:59+00:00,26711.0,26753.25,ShortAtHighPivot,PivotExitShort,-86.4,1.9
907,Long,1,2026-04-17 13:08:59+00:00,2026-04-17 13:18:59+00:00,26753.25,26772.5,LongAtLowPivot,PivotExitLong,36.6,1.9
