**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,seg_idx,shape,skew,r,mean_sigma,start_ts,end_ts,length_min,parent_phrase_idx,shape_class
2025_01_13,IS,1,NOISE,NONE,0.7927428437451073,23.91457066032477,1736777700,1736782800,85.0,4,NOISE
2025_01_13,IS,2,STEEP_LINEAR_UP,NONE,0.9624232362918698,45.003909669490405,1736782800,1736784000,20.0,4,STEEP_LINEAR_UP
2025_01_13,IS,0,NOISE,NONE,0.6233352822276945,32.928571211666075,1736784000,1736789400,90.0,5,NOISE
2025_01_13,IS,0,STEEP_CONCAVE_UP,BACK_SKEWED,0.9526803706105604,22.663140106171504,1736789400,1736796900,125.0,6,STEEP_CONCAVE_UP
2025_01_13,IS,1,STEEP_LINEAR_UP,NONE,0.9622722047245608,20.03667719325053,1736796900,1736812795,264.9,6,STEEP_LINEAR_UP
2025_01_14,IS,0,NOISE,NONE,-2.0,5.098024476882153,1736812800,1736817055,70.9,0,NOISE
2025_01_14,IS,0,NOISE,NONE,0.6008918933615638,8.762531314058494,1736819100,1736824800,95.0,1,NOISE
2025_01_14,IS,1,FLATLINE,NONE,0.0,7.101059318845778,1736824800,1736827200,40.0,1,FLATLINE
2025_01_14,IS,0,NOISE,NONE,0.8286612586219233,7.708798700589148,1736827200,1736831700,75.0,2,NOISE
2025_01_14,IS,0,NOISE,NONE,0.6139061303470139,6.048112608113471,1736831700,1736839200,125.0,3,NOISE
2025_01_14,IS,1,GENTLE_CONVEX_UP,BACK_SKEWED,0.974738643497126,7.316456233148536,1736839200,1736841900,45.0,3,GENTLE_CONVEX_UP
2025_01_14,IS,2,GENTLE_CONCAVE_UP,SYMMETRIC,0.920929778955935,13.88735445992895,1736841900,1736848805,115.1,3,GENTLE_CONCAVE_UP
2025_01_14,IS,3,FLATLINE,NONE,0.0,6.120970250230277,1736848805,1736849100,4.9,3,FLATLINE
2025_01_14,IS,4,GENTLE_LINEAR_DOWN,NONE,0.9591198434050456,9.131160281310942,1736849105,1736855100,99.9,3,GENTLE_LINEAR_DOWN
2025_01_14,IS,0,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.9189424453523064,19.618050997283436,1736855100,1736862600,125.0,4,GENTLE_CONVEX_DOWN
2025_01_14,IS,1,GENTLE_CONCAVE_UP,SYMMETRIC,0.8700543729883204,35.97377042477963,1736862600,1736867400,80.0,4,GENTLE_CONCAVE_UP
2025_01_14,IS,2,FLATLINE,NONE,0.0,45.850276978709424,1736867400,1736867700,5.0,4,FLATLINE
2025_01_14,IS,0,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.967721108122792,43.109855967828665,1736867700,1736871300,60.0,5,STEEP_CONCAVE_DOWN
2025_01_14,IS,0,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9507187400230004,25.8358969869674,1736871300,1736878500,120.0,6,STEEP_CONVEX_DOWN
2025_01_14,IS,1,STEEP_LINEAR_UP,NONE,0.9949426302528896,29.797082619863808,1736878500,1736882100,60.0,6,STEEP_LINEAR_UP
2025_01_14,IS,0,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.9496079716600816,38.96352506253245,1736882100,1736887500,90.0,7,STEEP_CONCAVE_DOWN
2025_01_14,IS,0,STEEP_LINEAR_UP,NONE,0.973075310582428,38.09660263576655,1736887500,1736889300,30.0,8,STEEP_LINEAR_UP
2025_01_14,IS,0,STEEP_CONCAVE_UP,FRONT_SKEWED,0.8897101611596241,27.927067380156004,1736889300,1736897400,135.0,9,STEEP_CONCAVE_UP
2025_01_14,IS,0,STEEP_LINEAR_DOWN,NONE,0.9732676633524782,7.526715664972525,1736897400,1736899195,29.9,10,STEEP_LINEAR_DOWN
2025_01_15,IS,0,NOISE,NONE,-2.0,3.160000224679405,1736899200,1736904030,80.5,0,NOISE
2025_01_15,IS,0,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.9771143203016084,4.3810337053888535,1736906075,1736910010,65.6,1,GENTLE_CONCAVE_DOWN
2025_01_15,IS,0,NOISE,NONE,0.7509667970259795,3.8585213852281126,1736910010,1736917200,119.8,2,NOISE
2025_01_15,IS,1,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9616276003224352,2.5657554369968225,1736917200,1736922900,95.0,2,GENTLE_CONCAVE_UP
2025_01_15,IS,0,NOISE,NONE,0.663523234119888,6.349971781463171,1736922900,1736932645,162.4,3,NOISE
2025_01_15,IS,1,GENTLE_CONVEX_UP,BACK_SKEWED,0.9077757972504308,5.665531841617086,1736932645,1736934300,27.6,3,GENTLE_CONVEX_UP
2025_01_15,IS,0,GENTLE_LINEAR_UP,NONE,0.9552421804422754,8.266933686117959,1736934300,1736947035,212.2,4,GENTLE_LINEAR_UP
2025_01_15,IS,1,NOISE,NONE,0.6437506182251439,5.741213006368815,1736947035,1736948100,17.8,4,NOISE
2025_01_15,IS,2,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9750028497185842,51.29486973294125,1736948100,1736958300,170.0,4,STEEP_CONCAVE_UP
2025_01_15,IS,3,NOISE,NONE,0.7583775282468712,23.38871208487339,1736958300,1736963400,85.0,4,NOISE
2025_01_15,IS,4,STEEP_LINEAR_UP,NONE,0.9904546594708236,17.995091776262456,1736963400,1736966700,55.0,4,STEEP_LINEAR_UP
2025_01_15,IS,0,STEEP_LINEAR_UP,NONE,0.9444675730479783,12.475693166455608,1736966700,1736967600,15.0,5,STEEP_LINEAR_UP
2025_01_15,IS,0,GENTLE_CONCAVE_UP,BACK_SKEWED,0.9207394136850188,11.34368515437554,1736967600,1736975400,130.0,6,GENTLE_CONCAVE_UP
2025_01_15,IS,1,GENTLE_CONVEX_DOWN,FRONT_SKEWED,0.9048163451583932,12.201111428300983,1736975400,1736983415,133.6,6,GENTLE_CONVEX_DOWN
2025_01_15,IS,0,STEEP_LINEAR_UP,NONE,0.987974487527662,10.738739337859371,1736983415,1736985595,36.3,7,STEEP_LINEAR_UP
2025_01_16,IS,0,NOISE,NONE,-2.0,7.0446701988052745,1736985600,1736989820,70.3,0,NOISE
2025_01_16,IS,0,GENTLE_LINEAR_DOWN,NONE,0.9317980020336246,6.662303483726876,1736991645,1737009000,289.2,1,GENTLE_LINEAR_DOWN
2025_01_16,IS,1,STEEP_LINEAR_UP,NONE,0.9794044045523002,25.750768977112617,1737009000,1737010485,24.8,1,STEEP_LINEAR_UP
2025_01_16,IS,0,STEEP_CONCAVE_UP,SYMMETRIC,0.9580030349304502,18.943077235012247,1737010485,1737018305,130.3,2,STEEP_CONCAVE_UP
2025_01_16,IS,1,GENTLE_CONVEX_DOWN,SYMMETRIC,0.8981908089116629,14.760647203376047,1737018305,1737024300,99.9,2,GENTLE_CONVEX_DOWN
2025_01_16,IS,0,NOISE,NONE,0.5510175080210383,7.826902685276647,1737024300,1737029095,79.9,3,NOISE
2025_01_16,IS,1,GENTLE_CONVEX_DOWN,BACK_SKEWED,0.9243319440873916,13.828959538205208,1737029095,1737036305,120.2,3,GENTLE_CONVEX_DOWN
2025_01_16,IS,2,NOISE,NONE,0.4706923782179192,19.93181983323909,1737036305,1737039300,49.9,3,NOISE
2025_01_16,IS,3,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.8847870312753656,27.705624068103777,1737039300,1737044100,80.0,3,STEEP_CONVEX_DOWN
2025_01_16,IS,4,FLATLINE,NONE,0.0,34.35207395726992,1737044100,1737046800,45.0,3,FLATLINE
2025_01_16,IS,5,NOISE,NONE,0.8272799975729198,18.415223891890392,1737046800,1737050100,55.0,3,NOISE
2025_01_16,IS,6,GENTLE_CONCAVE_DOWN,BACK_SKEWED,0.951389880960498,10.74936757098237,1737050100,1737052200,35.0,3,GENTLE_CONCAVE_DOWN
2025_01_16,IS,7,NOISE,NONE,0.3105058777436907,22.831958134087976,1737052200,1737060600,140.0,3,NOISE
2025_01_16,IS,8,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9280046775692328,25.35141363674557,1737060600,1737071100,175.0,3,STEEP_CONVEX_DOWN
