date,n_bigpos,n_bigneg,n_total,regime_2d,tf,actual,pred
2025-10-21,0,0,276,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-10-22,24,60,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-10-23,24,0,276,UP_SMOOTH,1h,UP,UP
2025-10-24,24,0,168,UP_SMOOTH,1h,UP,UP
2025-10-26,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-10-27,0,0,276,UP_SMOOTH,1h,UP,ABSTAIN
2025-10-28,0,0,276,UP_SMOOTH,1h,UP,ABSTAIN
2025-10-29,24,36,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-10-30,36,36,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-10-31,12,48,168,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-02,0,0,108,FLAT_SMOOTH,1h,FLAT,ABSTAIN
2025-11-03,0,36,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-04,36,60,276,DOWN_CHOPPY,1h,DOWN,DOWN
2025-11-05,36,36,276,FLAT_CHOPPY,1h,FLAT,ABSTAIN
2025-11-06,24,72,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-07,48,60,168,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-09,0,0,108,UP_SMOOTH,1h,UP,ABSTAIN
2025-11-10,24,12,276,UP_CHOPPY,1h,UP,UP
2025-11-11,12,24,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-12,12,48,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-13,24,84,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-11-14,48,84,168,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-16,24,0,108,UP_SMOOTH,1h,UP,UP
2025-11-17,36,96,276,DOWN_SMOOTH,1h,DOWN,DOWN
2025-11-18,72,84,276,FLAT_CHOPPY,1h,FLAT,DOWN
2025-11-19,72,48,276,UP_SMOOTH,1h,UP,UP
