timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1775800590,25259.75,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,64.5,22.0,3,
1775800595,25261.00,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,57.0,22.0,3,
1775800600,25262.25,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,49.5,22.0,3,
1775800605,25262.50,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,48.0,22.0,3,
1775800610,25261.75,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,52.5,22.0,3,
1775800615,25261.25,-1.1203,0.7366,-0.75,1,short,RIDE_AGAINST,6,55.5,22.0,3,
1775800620,25261.75,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,52.5,22.0,3,
1775800625,25261.75,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,52.5,22.0,3,
1775800630,25262.00,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,51.0,22.0,3,
1775800635,25261.50,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,54.0,22.0,3,
1775800640,25261.75,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,52.5,22.0,3,
1775800645,25261.50,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,54.0,22.0,3,
1775800650,25260.75,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,58.5,22.0,3,
1775800655,25261.25,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,55.5,22.0,3,
1775800660,25261.75,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,52.5,22.0,3,
1775800665,25262.25,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,49.5,22.0,3,
1775800670,25262.25,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,49.5,22.0,3,
1775800675,25261.75,-0.5452,0.7309,0.25,1,short,RIDE_AGAINST,7,52.5,22.0,3,
1775800680,25262.00,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,51.0,22.0,3,
1775800685,25261.75,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,52.5,22.0,3,
1775800690,25261.25,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,55.5,22.0,3,
1775800695,25261.50,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,54.0,22.0,3,
1775800705,25260.75,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,58.5,22.0,3,
1775800710,25261.00,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,57.0,22.0,3,
1775800715,25260.75,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,58.5,22.0,3,
1775800720,25261.75,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,52.5,22.0,3,
1775800725,25261.75,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,52.5,22.0,3,
1775800735,25262.00,-0.3834,0.7021,-0.25,1,short,RIDE_AGAINST,8,51.0,22.0,3,
1775800740,25261.75,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,0.0,0.0,1,CHAIN_EXIT_fade_oscillation_center CHAIN_EXIT_chain_fade_oscillation_center CHAIN_EXIT_chain_fade_oscillation_center
1775800745,25261.50,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,0.5,0.5,1,
1775800750,25261.25,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,1.0,1.0,1,
1775800760,25261.50,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,0.5,1.0,1,
1775800765,25261.75,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,0.0,1.0,1,
1775800770,25262.25,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,-1.0,1.0,1,
1775800775,25262.00,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,-0.5,1.0,1,
1775800780,25261.75,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,0.0,1.0,1,
1775800785,25262.25,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,-1.0,1.0,1,
1775800790,25262.00,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,-0.5,1.0,1,
1775800795,25262.75,0.1858,0.6418,0.50,1,short,FADE_AGAINST,0,-2.0,1.0,1,
1775800800,25262.25,1.1903,0.5313,2.25,1,short,FADE_AGAINST,1,-1.0,1.0,1,
