day,regime,total_pnl,n_trades,n_winners,pnl__FADE_AGAINST,pnl__FADE_MOMENTUM,pnl__NMP_FADE_RAW,pnl__NMP_RIDE_RAW,pnl__RIDE_AGAINST,pnl__RIDE_MOMENTUM,pnl__CASCADE,pnl__FADE_CALM,pnl__KILL_SHOT,pnl__RIDE_CALM,pnl__FREIGHT_TRAIN
2025_08_05,DOWN_CHOPPY,483.0,414,114,131.0,71.0,256.0,-18.5,106.0,-110.0,0.0,51.0,-42.0,38.5,
2025_10_29,FLAT_CHOPPY,479.5,631,184,-10.5,-170.5,145.0,85.5,131.5,,82.5,40.5,175.5,,
2025_06_16,FLAT_CHOPPY,478.5,369,125,32.0,172.5,224.5,23.5,-182.5,,38.5,99.5,36.5,34.0,
2025_05_09,FLAT_SMOOTH,473.0,614,176,,184.5,301.5,,,,83.0,-153.0,57.0,,
2025_01_28,UP_SMOOTH,462.0,249,86,33.5,56.5,68.5,,333.0,,-9.0,-5.0,-15.5,,
2025_04_04,DOWN_SMOOTH,458.5,53,12,-6.5,67.0,13.5,,76.0,,166.5,0.0,142.0,,
2025_11_17,DOWN_SMOOTH,458.5,207,76,,112.5,125.0,,,,9.5,122.5,89.0,,
2025_01_06,FLAT_CHOPPY,451.0,319,111,-3.5,39.0,137.0,30.0,208.0,2.0,-5.0,41.5,2.0,,
2025_08_19,DOWN_SMOOTH,448.5,455,122,9.5,48.0,69.0,53.0,96.0,,35.5,35.5,49.0,53.0,
2025_02_12,FLAT_CHOPPY,434.0,726,194,,-42.0,345.0,,,,40.5,-14.5,105.0,,
2025_07_22,FLAT_CHOPPY,426.5,695,187,0.0,127.0,197.5,-37.0,-37.0,,-27.5,161.0,79.5,-37.0,
2025_04_22,UP_SMOOTH,420.5,126,37,-33.5,-30.5,-44.0,198.0,200.0,151.0,2.0,15.0,-37.5,,
2025_12_15,DOWN_SMOOTH,405.5,191,58,38.5,95.0,163.5,,71.5,,2.5,32.5,2.0,,
2025_02_04,FLAT_CHOPPY,402.5,225,69,8.0,271.0,227.0,-141.5,-201.5,,65.0,64.0,110.5,,
2025_11_03,FLAT_CHOPPY,402.0,794,244,13.0,-25.5,214.5,,33.0,,1.5,130.5,35.0,,
2025_03_04,FLAT_CHOPPY,393.5,216,53,48.0,102.0,-89.0,,353.0,,13.0,-19.0,-14.5,,
2025_05_26,FLAT_SMOOTH,390.5,163,59,4.5,-16.5,60.0,72.5,72.5,25.5,8.5,79.5,42.0,42.0,
2025_09_09,FLAT_CHOPPY,380.5,708,195,,92.5,173.0,,,,,55.0,60.0,,
2025_11_18,FLAT_CHOPPY,379.5,205,68,22.0,-106.5,222.5,,-69.0,,29.5,176.5,104.5,,
2025_06_17,FLAT_CHOPPY,374.5,507,142,18.5,-32.0,213.0,,-55.5,,60.0,51.5,119.0,,
2025_01_31,DOWN_CHOPPY,372.5,455,147,2.0,100.0,232.0,75.5,33.5,,-25.0,-66.0,-33.0,53.5,
2025_04_21,FLAT_SMOOTH,372.5,121,24,-1.0,-92.5,-95.0,126.0,414.0,79.5,-20.0,-36.0,-2.5,,
2025_03_05,FLAT_CHOPPY,365.0,292,93,57.5,205.5,215.5,-27.0,-187.0,,23.0,24.0,53.5,,
2025_10_28,UP_SMOOTH,353.0,510,169,38.5,41.0,190.0,-90.5,-12.0,,17.5,67.0,101.5,,
2025_02_20,FLAT_CHOPPY,347.0,711,188,-16.5,21.5,-43.5,55.5,99.0,131.0,4.0,-0.5,96.5,,
