trade_id,time,timestamp,dir,entry_price,exit_price,pnl,held,peak,entry_tier,exit_reason,chain_idx,entry_residual,day
33,15:38,1771947480,long,25007.25,25014.5,14.5,5,14.5,RM_PIVOT_TPSL,INVERSE,0,-2.1363790035247803,2026_02_24
34,15:46,1771947960,short,24998.25,24998.25,0.0,0,0.0,RM_PIVOT_TPSL,INVERSE,0,2.071192979812622,2026_02_24
35,16:23,1771950180,long,25009.75,25020.0,20.5,4,25.0,RM_PIVOT_TPSL,INVERSE,0,-1.9645180702209473,2026_02_24
36,17:03,1771952580,long,25032.25,25052.25,40.0,7,40.0,RM_PIVOT_TPSL,INVERSE,0,-1.6832115650177002,2026_02_24
37,17:14,1771953240,short,25067.75,25055.5,24.5,1,26.0,RM_PIVOT_TPSL,INVERSE,0,2.147181510925293,2026_02_24
38,17:23,1771953780,long,25060.5,25062.75,4.5,2,9.5,RM_PIVOT_TPSL,INVERSE,0,-1.5552866458892822,2026_02_24
39,17:53,1771955580,short,25055.5,25048.5,14.0,2,14.5,RM_PIVOT_TPSL,INVERSE,0,1.6959989070892334,2026_02_24
40,18:06,1771956360,short,25071.75,25054.75,34.0,2,34.5,RM_PIVOT_TPSL,INVERSE,0,1.8920336961746216,2026_02_24
41,18:24,1771957440,short,25028.0,25031.25,-6.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,2.539968967437744,2026_02_24
42,18:33,1771957980,long,25028.0,25029.25,2.5,0,2.5,RM_PIVOT_TPSL,INVERSE,0,-1.5134408473968506,2026_02_24
43,18:53,1771959180,short,25029.5,25029.0,1.0,7,1.0,RM_PIVOT_TPSL,INVERSE,0,1.5839344263076782,2026_02_24
44,19:14,1771960440,long,25017.0,25006.75,-20.5,5,4.5,RM_PIVOT_TPSL,INVERSE,0,-1.5694326162338257,2026_02_24
45,19:30,1771961400,short,25003.0,25014.5,-23.0,18,5.5,RM_PIVOT_TPSL,INVERSE,0,1.9784067869186401,2026_02_24
46,19:51,1771962660,long,25029.0,25027.75,-2.5,0,0.0,RM_PIVOT_TPSL,INVERSE,0,-2.0733280181884766,2026_02_24
47,19:55,1771962900,short,25017.25,25016.75,1.0,0,1.0,RM_PIVOT_TPSL,INVERSE,0,1.6005983352661133,2026_02_24
