day,pnl,n_trades,n_winners,n_losers,n_trail,n_pivot,n_eod,n_long,n_short,sum_mfe_usd,avg_leg_min,best_trade,worst_trade,pivot_pnl,trail_pnl,pivot_share,trail_share,long_share,is_loss_day,split,dow
2026_02_26,-195.5,24,16,8,17,7,0,8,16,927.0,19.10902777777778,68.0,-92.5,-506.0,310.5,0.2916666666666667,0.7083333333333334,0.3333333333333333,True,OOS,Thursday
2026_02_27,362.5,41,29,12,32,9,0,17,24,2098.5,12.861788617886177,145.0,-74.0,-553.0,915.5,0.21951219512195122,0.7804878048780488,0.4146341463414634,False,OOS,Friday
2026_03_02,41.0,42,22,19,27,15,0,22,20,2447.5,10.054365079365079,227.0,-128.0,-1083.5,1124.5,0.35714285714285715,0.6428571428571429,0.5238095238095238,False,OOS,Monday
2026_03_03,83.5,60,37,22,43,17,0,34,26,3411.0,7.1,276.0,-100.5,-1269.0,1352.5,0.2833333333333333,0.7166666666666667,0.5666666666666667,False,OOS,Tuesday
2026_03_04,77.0,57,34,23,40,17,0,27,30,3085.5,7.52719298245614,120.5,-122.5,-1141.5,1218.5,0.2982456140350877,0.7017543859649122,0.47368421052631576,False,OOS,Wednesday
2026_03_05,-453.5,50,27,23,32,18,0,28,22,2286.0,9.482999999999999,193.5,-117.5,-1341.0,887.5,0.36,0.64,0.56,True,OOS,Thursday
2026_03_06,187.5,45,28,16,33,12,0,20,25,2641.5,10.116666666666667,174.5,-127.0,-941.0,1128.5,0.26666666666666666,0.7333333333333333,0.4444444444444444,False,OOS,Friday
2026_03_09,-829.0,80,41,39,51,29,0,41,39,4006.0,7.033333333333333,168.0,-188.5,-2252.0,1423.0,0.3625,0.6375,0.5125,True,OOS,Monday
2026_03_10,-334.0,58,32,26,38,20,0,27,31,2891.0,9.724425287356322,119.5,-108.0,-1404.0,1070.0,0.3448275862068966,0.6551724137931034,0.46551724137931033,True,OOS,Tuesday
2026_03_11,-53.5,39,24,14,28,11,0,21,18,2011.5,10.676068376068375,134.0,-101.5,-839.0,785.5,0.28205128205128205,0.717948717948718,0.5384615384615384,True,OOS,Wednesday
2026_03_12,-215.5,58,30,28,35,22,1,31,27,2903.0,9.293678160919539,103.5,-93.5,-1493.5,1249.5,0.3793103448275862,0.603448275862069,0.5344827586206896,True,OOS,Thursday
2026_03_13,-123.0,44,23,21,28,16,0,25,19,2051.0,9.733333333333333,216.0,-90.0,-1095.5,972.5,0.36363636363636365,0.6363636363636364,0.5681818181818182,True,OOS,Friday
2026_03_16,-866.5,43,20,23,25,17,1,20,23,1472.5,12.796899224806202,81.5,-179.0,-1279.5,422.0,0.3953488372093023,0.5813953488372093,0.46511627906976744,True,OOS,Monday
2026_03_17,-533.0,33,18,15,17,15,1,19,14,983.0,16.773737373737372,83.0,-85.0,-929.0,393.0,0.45454545454545453,0.5151515151515151,0.5757575757575758,True,OOS,Tuesday
2026_03_18,-631.0,31,15,16,17,14,0,12,19,1255.0,8.078494623655914,102.5,-108.5,-1071.0,440.0,0.45161290322580644,0.5483870967741935,0.3870967741935484,True,OOS,Wednesday
