**DEPRECATED — LOOKAHEAD ARTIFACT, DO NOT QUOTE**

day,split,level,idx,parent_chain,shape,shape_class,skew,r,mean_sigma,start_ts,end_ts,start_i,end_i,length_min
2025_01_03,IS,sub_motif,1,6/0,GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,BACK_SKEWED,0.9784353293945811,3.3801754434135707,1735908390,1735908720,7473,7535,5.5
2025_01_03,IS,sub_motif,2,6/0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9839949892274209,5.44762733543024,1735908720,1735909500,7535,7680,13.0
2025_01_03,IS,sub_motif,0,6/1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,SYMMETRIC,0.964943838691062,7.409569848729837,1735909500,1735910520,7680,7880,17.0
2025_01_03,IS,sub_motif,1,6/1,FLATLINE,FLATLINE,NONE,0.0,4.516453094738727,1735910520,1735911180,7880,8007,11.0
2025_01_03,IS,sub_motif,2,6/1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,BACK_SKEWED,0.9599617839995872,6.397788799551054,1735911180,1735912080,8007,8186,15.0
2025_01_03,IS,sub_motif,3,6/1,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.997738270139595,9.02545310815285,1735912080,1735913115,8186,8390,17.25
2025_01_03,IS,sub_motif,0,6/2,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9631621391587237,8.691238585218668,1735913115,1735913700,8390,8506,9.75
2025_01_03,IS,sub_motif,0,7/0,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9760642150449373,23.37641289149034,1735913700,1735916160,8506,8998,41.0
2025_01_03,IS,sub_motif,1,7/0,NOISE,NOISE,NONE,0.733018963912114,25.46242991595551,1735916160,1735916820,8998,9130,11.0
2025_01_03,IS,sub_motif,2,7/0,FLATLINE,FLATLINE,NONE,0.0,25.86033675098105,1735916820,1735917450,9130,9256,10.5
2025_01_03,IS,sub_motif,3,7/0,STEEP_CONVEX_DOWN,STEEP_CONVEX_DOWN,FRONT_SKEWED,0.9733844821078261,31.946530448964662,1735917450,1735918500,9256,9466,17.5
2025_01_03,IS,sub_motif,0,7/1,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9845959692326877,15.603156845354178,1735918500,1735919880,9466,9742,23.0
2025_01_03,IS,sub_motif,1,7/1,NOISE,NOISE,NONE,0.8401680504168058,9.63889936030445,1735919880,1735919970,9742,9760,1.5
2025_01_03,IS,sub_motif,2,7/1,FLATLINE,FLATLINE,NONE,0.0,9.486137614994822,1735919970,1735920060,9760,9778,1.5
2025_01_03,IS,sub_motif,3,7/1,STEEP_CONVEX_UP,STEEP_CONVEX_UP,BACK_SKEWED,0.861078548697645,8.813671351990042,1735920060,1735920240,9778,9814,3.0
2025_01_03,IS,sub_motif,4,7/1,FLATLINE,FLATLINE,NONE,0.0,12.567907125939781,1735920240,1735920300,9814,9826,1.0
2025_01_03,IS,sub_motif,0,7/2,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.9031116335227252,15.992929330051028,1735920300,1735921440,9826,10054,19.0
2025_01_03,IS,sub_motif,1,7/2,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9809067335706767,14.149029791272444,1735921440,1735923870,10054,10540,40.5
2025_01_03,IS,sub_motif,2,7/2,FLATLINE,FLATLINE,NONE,0.0,5.427908925901565,1735923870,1735924110,10540,10588,4.0
2025_01_03,IS,sub_motif,3,7/2,STEEP_CONCAVE_DOWN,STEEP_CONCAVE_DOWN,BACK_SKEWED,0.880716197976718,5.268448623749795,1735924110,1735924140,10588,10594,0.5
2025_01_03,IS,sub_motif,4,7/2,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.9798509191917112,7.603418600014868,1735924140,1735926000,10594,10966,31.0
2025_01_03,IS,sub_motif,0,7/3,FLATLINE,FLATLINE,NONE,0.0,5.065996348443823,1735926000,1735926660,10966,11098,11.0
2025_01_03,IS,sub_motif,1,7/3,GENTLE_CONCAVE_UP,GENTLE_CONCAVE_UP,FRONT_SKEWED,0.9840147663698731,6.160023882510113,1735926660,1735928100,11098,11386,24.0
2025_01_03,IS,sub_motif,0,7/4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9810950609492683,7.853208308140301,1735928100,1735930800,11386,11926,45.0
2025_01_03,IS,sub_motif,1,7/4,FLATLINE,FLATLINE,NONE,0.0,5.7210069383401505,1735930800,1735931310,11926,12028,8.5
2025_01_03,IS,sub_motif,2,7/4,STEEP_CONCAVE_UP,STEEP_CONCAVE_UP,FRONT_SKEWED,0.9531995394982902,5.215608909343963,1735931310,1735932690,12028,12304,23.0
2025_01_03,IS,sub_motif,3,7/4,GENTLE_CONVEX_UP,GENTLE_CONVEX_UP,BACK_SKEWED,0.8807161979781448,3.834277340572027,1735932690,1735932720,12304,12310,0.5
2025_01_03,IS,sub_motif,4,7/4,FLATLINE,FLATLINE,NONE,0.0,3.7695522022497667,1735932720,1735932750,12310,12316,0.5
2025_01_03,IS,sub_motif,5,7/4,GENTLE_LINEAR_DOWN,GENTLE_LINEAR_DOWN,NONE,0.8892609119410328,3.71547761093765,1735932750,1735932810,12316,12328,1.0
2025_01_03,IS,sub_motif,6,7/4,STEEP_LINEAR_UP,STEEP_LINEAR_UP,NONE,0.9498874588333147,6.3743834923041724,1735932810,1735934010,12328,12568,20.0
2025_01_03,IS,sub_motif,7,7/4,STEEP_LINEAR_DOWN,STEEP_LINEAR_DOWN,NONE,0.99405718084171,8.896621597389089,1735934010,1735935300,12568,12826,21.5
2025_01_03,IS,sub_motif,0,7/5,NOISE,NOISE,NONE,0.8039697057280389,4.715591002133742,1735935300,1735936020,12826,12970,12.0
