tf,X,q_z,n,corr_x_fwd
1h,price_sigma_w,0,9342,0.021469032746574235
1h,price_sigma_w,1,9357,0.026668743533217694
1h,price_sigma_w,2,9349,-0.038827211869140676
1h,price_sigma_w,3,9357,0.02372144414678288
1h,price_sigma_w,4,9368,-0.013661576518203624
1h,vol_mean_w,0,9342,-0.01712833757251386
1h,vol_mean_w,1,9357,0.05370916712379055
1h,vol_mean_w,2,9349,-0.028885719171343974
1h,vol_mean_w,3,9357,0.026821072398812554
1h,vol_mean_w,4,9368,-0.04574839232788667
1h,vol_sigma_w,0,9342,-0.02043958553294205
1h,vol_sigma_w,1,9357,0.05029048133537299
1h,vol_sigma_w,2,9349,-0.007176603378290623
1h,vol_sigma_w,3,9357,0.011323720396557409
1h,vol_sigma_w,4,9368,-0.05430400684682778
1h,vwap_w,0,9342,-0.04335045871377293
1h,vwap_w,1,9357,-0.02644287338213301
1h,vwap_w,2,9349,0.008872622546679653
1h,vwap_w,3,9357,-0.016203286483588614
1h,vwap_w,4,9368,-0.000806560196487257
1h,z_high_w,0,9342,-0.01026672468701443
1h,z_high_w,1,9357,0.027047409818700505
1h,z_high_w,2,9349,-0.01768633802028807
1h,z_high_w,3,9357,0.0377691533968849
1h,z_high_w,4,9368,0.05738469792032889
1h,z_low_w,0,9342,0.008462300733130998
1h,z_low_w,1,9357,0.012074887859084294
1h,z_low_w,2,9349,0.010403085717041157
1h,z_low_w,3,9357,0.010756246874134833
1h,z_low_w,4,9368,0.04979996754858807
1h,SE_high_w,0,9342,0.006022262090301411
1h,SE_high_w,1,9357,0.05973675791465598
1h,SE_high_w,2,9349,0.030383587272113592
1h,SE_high_w,3,9357,0.041107180992752276
1h,SE_high_w,4,9368,0.014872057490274891
1h,SE_low_w,0,9342,0.015176075520072297
1h,SE_low_w,1,9357,0.028473111338667652
1h,SE_low_w,2,9349,-0.00545972848504429
1h,SE_low_w,3,9357,0.05949983671239693
1h,SE_low_w,4,9368,-0.022657697320941826
1h,hurst_w,0,9342,0.06600857683578237
1h,hurst_w,1,9357,-0.004050724456685723
1h,hurst_w,2,9349,-0.014270108992965795
1h,hurst_w,3,9357,-0.029211062333627226
1h,hurst_w,4,9368,0.02050354315761616
1h,reversion_prob_w,0,9342,-0.044864105645445976
1h,reversion_prob_w,1,9357,-0.005207225960615723
1h,reversion_prob_w,2,9349,-0.02422943094235751
1h,reversion_prob_w,3,9357,-0.08523452895267083
1h,reversion_prob_w,4,9368,-0.021423740907418734
1h,swing_noise_w,0,9282,0.06551939992602435
1h,swing_noise_w,1,9321,0.01894418085782678
1h,swing_noise_w,2,9325,-0.028084337073615805
1h,swing_noise_w,3,9321,0.011128049876956507
1h,swing_noise_w,4,9308,-0.02314510445085717
