day,pivot_ts,pivot_bar,n_bars,entry_ts,entry_bar,dir,entry_px,exit_ts,exit_bar,exit_px,exit_reason,pnl_pts,pnl_usd,combiner_P
2026_07_07,,-80,81,1783431060,1,1,29641.5,1783431170,,29591.5,CAT_STOP,-50.0,-101.0,0.7718
2026_07_07,,-80,83,1783431180,3,1,29562.25,1783431340,,29512.25,CAT_STOP,-50.0,-101.0,0.8755
2026_07_07,,-80,86,1783431360,6,-1,29553.5,1783431780,13,29573.5,R_TRIGGER,-20.0,-41.0,0.8834
2026_07_07,1783431480.0,8,6,1783431840,14,-1,29593.25,1783435920,82,29305.25,R_TRIGGER,288.0,575.0,0.8498
2026_07_07,1783435320.0,72,10,1783435920,82,1,29305.25,1783438740,129,29258.25,R_TRIGGER,-47.0,-95.0,0.8335
2026_07_07,1783437180.0,103,26,1783438740,129,-1,29258.25,1783439025,,29308.25,CAT_STOP,-50.0,-101.0,0.9703
2026_07_07,1783438800.0,130,5,1783439100,135,1,29351.0,1783449300,305,29512.25,R_TRIGGER,161.25,321.5,0.976
2026_07_07,1783444080.0,218,87,1783449300,305,-1,29512.25,1783452600,360,29357.25,R_TRIGGER,155.0,309.0,0.7811
2026_07_07,1783451880.0,348,12,1783452600,360,1,29357.25,1783453225,,29307.25,CAT_STOP,-50.0,-101.0,0.7939
2026_07_07,1783451880.0,348,25,1783453380,373,1,29309.25,1783455300,405,29419.0,SESSION_CLOSE,109.75,218.5,0.794
2026_07_08,,-255,255,1783517400,0,1,29252.5,1783519860,41,29271.0,R_TRIGGER,18.5,36.0,0.8268
2026_07_08,1783518420.0,17,26,1783519980,43,1,29270.5,1783520820,57,29320.5,R_TRIGGER,50.0,99.0,0.8017
